paper_title,abstract,session_name,session_id,paper_id
The psychosocial work environment and its association with psychological incidents among pediatric healthcare providers.," Objective: The goal of this study was to examine the association between psychosocial factors and psychological incidents (e.g., stress, burnout) among pediatric healthcare providers. Background: The psychosocial work environment may increase the risk of psychological incidents among pediatric healthcare providers. The dearth of research in this area contributes to our lack of understanding this relationship. Methods: Randomly selected behavioral health specialists, patient care assistants, and registered nurses recorded psychological incidents using a digital voice recorder during their shift over a 2-week period. Participants completed the Nurses’ Worklife and Health Study survey that assessed work-related psychosocial factors. The association between psychological incidents and demographics, employment characteristics, psychosocial factors, and physical injuries was examined using Fischer’s exact test, Wilcoxon rank sum test, and logistic regression. Results: Pediatric healthcare providers who experienced psychological incidents were older, heavier, and worked fewer hours. Pediatric healthcare providers who experienced a physical injury during the 2-week period experienced a higher risk for psychological incidents. Conclusion: The psychosocial factors we examined are not associated with risk of psychological incidents among pediatric healthcare providers, but experiencing a physical injury greatly increases the risk of experiencing psychological incidents.",Work environment in health systems,241,501
Improving Post-disasters Heterogeneous Multicrew Assignment Policies in Infrastructure Networks," An infrastructure network consists of independent man-made systems that collaborate and rely on each other to provide communities with a continuous flow of goods and services. The impact of disasters on infrastructure networks, such as communication, transportation, and healthcare systems, necessitates the understanding of network behavior and the level of communication between service providers, to enhance resilience and performance. This study concerns the assignment of heterogeneous multicrew to serve the impacted nodes in the network. Each node may require a repair visit from one or more service providers, and the job completion time for a crew may depend on the availability and work completion time of the other crew. We represent this assignment problem as a multi-server queueing system with stochastic demand arrival for each node and stochastic service time for each work crew. We analyze the system in an agent-based simulation environment and conduct extensive sensitivity analysis around model assumptions to enhance the understanding of the structure of critical infrastructure systems within the context of disaster resilience and to provide insights for improving multicrew assignment policies in post-disaster scenarios.",Resilience & Hazard Analysis,190,502
Advancing Anomaly Detection in Critical Infrastructure: A Comprehensive Review of Computer Vision Algorithms and Their Applications," This paper presents an overview of various computer vision algorithms and their applications in anomaly detection within critical infrastructure sectors. Our focus is on examining the potential of techniques like convolutional neural networks (CNNs), feature extraction methods, object detection models, and advanced deep learning approaches. We aim to highlight the adaptability of these technologies in monitoring and safeguarding essential systems, discussing their real-world implementations and effectiveness. The review will also touch upon the integration of computer vision with other technologies, such as drones and thermal imaging, and the challenges encountered in practical applications. Our goal is to provide a synthesized perspective on the role of computer vision in enhancing the resilience and security of critical infrastructure, offering insights for researchers and practitioners in the field.",Reliability II,188,503
Improving customer demand forecasts in Solid State Drive (SSD) supply chain under the constraint of low quantity and quality of available data," Customer demand forecasts are critical to business planning, specifically for supply and operations related tasks. Due to the short-range of available data and varying market conditions, it is often challenging to accurately forecast demand across multiple Solid State Drive (SSD) product SKUs in Solidigm's (former Intel NAND business) supply chain. In this work, I propose a time-series based model that leverages vector similarity metrics, such as cosine-similarity, to identify patterns in customer demand historically. The goal is to learn the time periods that best predict customer behavior in the future and other patterns such as a demand shift from low to high density SSDs. This approach is best for short-range time-series data with a continuous dependent variable, such as Solidigm's supply chain which captures only 4 demand values per-year (on a quarterly basis). The model is currently in a proof-of-concept stage and will be implemented in the strategic forecasting process-flow in the coming months.",Manufacturing III,137,504
Simple Strategic Tweaks to Warehouse Management Yields Significant Results," A $6B company warehouse handling 30K SKUs was struggling to meet flow demands to and from the production unit. The leaders were considering adding more personnel and equipment to the warehouse, quality and assembly. With a one-week material flow workshop and 24 days of coaching, the constraints were alleviated without adding people or equipment, the lead time halved and the output doubled. In this session, we will present an industry-independent and methodology-agnostic approach to the strategic application of continuous improvement, Industrial Engineering, Six Sigma, Theory of Constraints (TOC) and Lean methodologies to analyze the flow of materials from warehouse to production. The approach used quick mapping of the workflow, direct observation of the work, questioning the policies governing the work, and using simple tools to perform data analytics. Rapid, significant and sustainable gains included reducing the Service Level Agreement to 2 days from 7 days, reducing several weeks of quality and Material Review Board backlogs to a 2-day cadence, improving the on-time shipment to 100% from 0%, and enabling the implementation of the Warehouse Management System (WMS).",Manufacturing Organizations II,140,505
Wood Flow Management for Reduced Lead time and better Delivery Precision," In the forest industry, the challenge of harmonizing raw-material supply with market demand persists due to fluctuating customer orders and the inability of the producers to adapt production in a timely manner. For supply managers, producing wood efficiently and cost-effectively while simultaneously satisfying the orders in a short lead time is challenging. The Wood Supply Chain (WSC) comprises four core activities, including procurement, production, distribution, and sales. These principal activities are often carried out by separate business units. Wood procurement involves purchasing, harvesting, transportation, and inventory functions. Wood flow management starts with fiber procurement, followed by harvesting, and ends with delivery to a mill yard. The main complexity lies in supply uncertainty arising from the natural diversity of forests, seasonality, and fluctuating market demand. This project focused on management, planning, and coordination strategies for adjusting the wood flow at the tactical and operational levels. We have identified strategies to improve supply visibility and traceability, facilitating the alignment of sales commitments with available wood supply to control lead times. Then, a conceptual framework that outlines a comprehensive scheme for deploying these strategies drawing from relevant concepts in the literature through a combination of hermeneutic and Systematic Literature Review (SLR) approaches, is developed. Subsequently, through a case study in Canada, a Discrete Event Simulation (DES) simulation model is implemented. Then, a simulation-based optimized solution that demonstrates the benefits of dynamically adjusting wood flow is generated. This research contributes valuable insights to the industry by optimizing wood flow to efficiently meet market demands.",Supply Chain Management and Transportation in Forestry,216,506
Matrix-Based Input-Output Process Modeling in Microsoft Excel," Matrix-based input-output methods are commonly used to model the economic linkages between industries within an economy. Effectively, they describe the flow of dollars or widgets between value-adding processes. This framework is also applicable to manufacturing processes. However, they have not been widely applied to model manufacturing or production processes within the industrial or systems engineering domain. Simulation techniques, specifically discrete-event simulation, are commonly employed to model complex manufacturing processes, but the creation of these models is time consuming and costly. In practice, there can be a gap between the need for quick model results and the effort required to build a discrete-event model. As an analytical solution, matrix-based input-output models present themselves as a quick and easy to implement alternative to simulation models. This work develops input-output production process models whose relationship between each step in the process is described by matrices. The effectiveness of this approach is demonstrated through a generic deterministic process flow that is then adapted to a stochastic case to indicate how variability can be incorporated within the model. Finally, implementation within Excel is shown to automate the process. The input-output framework can facilitate understanding of many metrics-of-interest, such as production capacity, utilization rates, waste generation, number of cycles need to complete a production run, and limiting factors.",Manufacturing,132,507
Tec Innovation District project a Sustainable Educational Ecosystem and Keystone University Cluster in Healthcare," Tec de Monterrey together with educational institutions, Healthcare providers, Medical Research Institutes as well as the mayor's office of Tlalpan, may be well in the position to create an innovation district in this geographic area of the he Southern Zone of Mexico city where innovative organizations converge. The purpose of this development is to create a cluster Dedicated to Research, Education and the practice of Healthcare, through the Tec Innovation District project, the urban and social environment of the southern area of Mexico City will be transformed. In addition to educational institutions, medical organizations such as the National Rehabilitation Institute have entered the discussion space to project the changes sought as well as the dynamics that the projected collaboration may create with the medical institutions in the nearby vicinity that already exist. Some of which are The Cardiology Institute, The National Center for Nutrition and the National Neurological Center as well as private top level healthcare providers. The project includes more than 400 hectares which will be used to generate housing without displacement, create a territorial balance, address water issues and improve mobility in the Southern Zone of CDMX. Analysis of common ground as the ‘traditional’ university is developed to an innovation ecosystem keystone with the changing role of universities in a regional context such as the Mexican arena for the potential benefits of University-Industry collaboration (UIC). According to Government officials, this UIC is an opportunity to create equitable, innovative, and sustainable spaces that involve the entire community.","Healthcare for a Sustainable Future: Innovations in Operations, Design, and Environmental Management (SDG 3)",91,508
Understanding the Impact of Poll Worker Cybersecurity Behaviors on U.S. Election Integrity," In 2017, the United States Department of Homeland Security designated U.S. elections equipment as critical infrastructure. Poll workers play a crucial role in safeguarding election security and integrity and are responsible for administering an election at the more than 100,000 polling places needed during an election cycle, oftentimes interacting with, and having unsupervised access to, elections equipment. This paper examines the utility of training poll workers to mitigate potential cyber, physical, and insider threats that may emerge during U.S. elections through an analysis of the relationship between poll worker training performance and their individual cybersecurity practices. Specifically, we measure a poll worker’s personal cybersecurity behavior using the Security Behaviors and Intentions Scale (SeBIS) and statistically examine this measure to performance on three training modules covering pollbooks, provisional voting, and scanning units, along with quizzes to assess poll workers' knowledge. The results indicate that security behaviors related to device securement, password generation, and proactive awareness have a positive relationship with poll workers' knowledge of threats. K-means analysis shows that highly-educated and device-secure poll workers tend to score better on the training quizzes; device securement was also the greatest driver of the relationship between security behaviors and poll worker threat knowledge. These findings have implications for election security policies, emphasizing the need for election officials and managers to prioritize device securement and proactive awareness in poll worker training initiatives to enhance election security.",Digital Excellence I,43,509
Data Fusion Optimization for Physiological Signals," Physiological signals include different types such as Electrocardiogram (ECG), Electromyography (EMG), Electrooculography (EOG), and Electroencephalogram (EEG). These signals play a crucial role in computer-aided diagnosis. However, the mechanism to fuse these signals is extremely critical to take advantage of the wealth information. This study aims to design a data fusion strategy for polysomnography (PSG) physiological signals collected from sleep centers. Channel attention weights are proposed and optimized to aggregate the information from different physiological aspects. The proposed approach was tested for sleep stage classification and validated the performance.",Healthcare II,84,510
Component-Wise Markov Decision Process for Solving Condition Based Maintenance of Large Multi-Component Systems," Condition-based maintenance of multi-component systems is a prevalent engineering problem due to its effectiveness in reducing operational and maintenance costs. However, developing the exact optimal maintenance decisions for the large multi-component system is computationally challenging due to the exponential state and action space size with the number of components. To address the scalability issue in CBM, we propose a Component-Wise Markov Decision Process(CW-MDP) and an Adjusted Component-Wise Markov Decision Process (ACW-MDP) to obtain an approximation of optimal system-level CBM decision policy for heterogeneous systems. The theoretical convergence and the relationship between ACW-MDP and CW-MDP are derived.",Industrial Prognostics and Decision-Making,102,511
A Transformer Deep Learning Model to Sequential Decision-Making under Constraints," In this study, we adapt an innovative deep-learning framework employing a transformer model to address the challenges of temporal mixed-integer programs, specifically focusing on the Capacitated Lot Sizing Problem (CLSP). Our approach utilizes the transformer’s ability to process sequential data, making it well-suited for predicting binary variables indicating production decisions in each period of the CLSP. This problem is inherently dynamic, with a need for handling sequential decision-making under constraints. Our transformer-based framework is distinct in its ability to capture the temporal dynamics and dependencies within the CLSP, treating it as a sequence prediction task. Through comprehensive computational experiments, we demonstrate that our model reduces solution times for benchmark CLSP instances down to 0.0016 seconds while maintaining high levels of feasibility and optimality.",Deep Learning II,41,512
Influence of Process Parameters on the Microstructure and Material Properties of Material Extruded (MEX) Three-Dimensional Steel Parts," Additive manufacturing of metal parts using Material Extrusion (MEX) is gaining popularity. During this process, a metal-polymer filament is extruded into a three-dimensional shape layer by layer, starting from a CAD model. This process implements traditional powder metallurgy manufacturing and applies it to additive manufacturing. In Metal MEX, a part is printed in the green state, washed to remove all of the polymer binder, and sintered to fuse the metal powder. Given the recent trends in the use of additively manufactured parts for end-use applications, more research needs to be done on the properties of the parts produced through the Metal MEX process, given its potential to print anisotropic parts. This study aimed to investigate the tensile strength and hardness of additive manufactured steel with different infills and print orientations. Microstructure analysis was also performed to analyze the porosity and layer adhesion. To accomplish this, tensile bars were prepared, filled with a solid infill, triangular infill, or gyroid infill, and printed in the horizontal or vertical orientation. Tensile testing, hardness testing, and microstructure examination were performed on the specimens. The test results displayed a significant effect of print orientation on the part strength, similar to the polymer material extrusion process, even though the parts were sintered fully to remove any anisotropy.",Mechanical Characterization in Additive Manufacturing Processes,143,513
Analysis of Security Behaviors of Supply Chain Professionals," Improvements in information technology and developments in AI enable supply chain professionals to improve efficiencies. The digitization of supply chains facilitates integration of upstream and downstream resources but also increases the likelihood of cyberattacks. Existing literature reflects a rapid rise in cyberattacks targeting supply chains, with a significant number of data breaches attributed to employee errors. Therefore, as supply chain professionals pose an insider risk to supply chain cybersecurity, this research delves into their information security behaviors. The objective is to assess the security practices of supply chain professionals and identify strategies for improvement. To that end, we conducted a survey using Amazon Mechanical Turk with 763 usable responses, including 167 individuals from the field of supply chain management. The survey consisted of 27 Likert scale questions, with 16 drawn from the Security Behavior Intentions Scale (SeBIS) and 11 from the Human Aspects of Information Security Questionnaire (HAIS-Q), supplemented by 11 demographic-related queries. Utilizing principles from information theory for analysis, results reveal significant inconsistency in information security behaviors among supply chain professionals, particularly in Password Setting, Device Securement, and Proactive Awareness. Finally, we compare and contrast with another large security behavior dataset in the literature to determine whether supply chain professionals from different disciplines exhibit comparable levels of security performance. Ultimately, this research seeks to provide recommendations for training programs aimed at reducing the risk of incidents or breaches stemming from trusted insider professionals within the supply chain.",Digital Excellence I,43,514
Thematic analysis of leaders’ perspectives on the barriers and enablers to Kaizen events in hospitals," A Kaizen Event (KE), also known as a Rapid Improvement Event (RIE), is a short-term improvement project usually lasting between 3-5 days using team collaboration to effect beneficial changes and improvements to a targeted workspace or process. Due to their expeditious, collaborative, and focused nature, this type of improvement project when applied to change initiatives within a hospital environment can meaningfully deliver desired outcomes. Identifying key mechanisms needed in hospital settings to achieve value-added socio-technical outcomes is an important imperative for hospital managers and change leaders. An empirical field study was conducted to determine the critical success factors (CSFs) for KEs in hospital environments. This investigation enabled the acquisition of descriptive textual evidence obtained from mainly senior KE hospital leaders and facilitators on their perspectives on the barriers and enablers for hospital KE success. Barriers deal with project-related, social, and organizational change inhibitors, while enablers refer to related aspects that are contributors. From the findings obtained from these experienced individuals, a thematic analysis was conducted to determine any common themes which can be considered as key mechanisms needed to ensure successful hospital KEs. The analysis resulted in the identification of important mechanisms that can be utilized to support KEs in hospitals. The findings imply that KE hospital leaders and facilitators agree on prioritizing key factors related to socio-technical aspects for ensuring successful KE project outcomes. Furthermore, the barriers and enablers defined in this publication are expected to increase healthcare managements’ confidence in the planning and execution of successful hospital KEs.",Problem Solving and Decision Making II,176,515
Resilient System Architecture for an Autonomous Robotic Patrol System," As research endeavors in autonomous robotics and multi-robot systems grow, more real-world applications of these technologies are identified. The coordination of multiple types of robots to achieve a common objective can increase the ability of the system. Defining resilience as the system's ability to absorb shocks, adapt, and restore following a disruption/disturbance, this study outlines a resilient system architecture for an autonomous robotic patrol system meant to utilize the various functions of current robotic platforms to act as surveillance and complete tasks in both military and industrial environments. Many existing multi-robot systems use a centralized control method which has a central compute system to coordinate the movement and actions of all robots within the system. Research and development of decentralized control methods exist where the robots have a certain degree of decision-making ability. The proposed system architecture allows the robotic fleet to operate under decentralized control with decision-making abilities while also having the ability to transfer over to a centralized control method under certain conditions. The architecting of this type of hybrid system is significant as it allows the robots to perform autonomous patrolling and other tasks entirely based on sensing the environment around them while automatically transitioning into a centralized control for more involved and significant tasks.",SE Methods and Applications,200,516
Assessing and Prediction of the Nutritional Value of Fast-Food Meals: Calories and Macronutrients," This comprehensive research delves into the nutritional intricacies of fast-food meals across eight prominent U.S. restaurant chains. Leveraging advanced machine learning techniques, including linear regression, classification tree, random forest, and KNN, the study aims to predict calorie content. The analysis uncovers the nuanced relationship between calories and nutrient profiles, offering a detailed panorama of nutrient values associated with consumer-purchased meals. The investigation expands its scope by employing clustering methods such as K-mean and hierarchical clustering, shedding light on macronutrient profiles within each cluster. Noteworthy findings highlight linear regression as the most accurate predictor, boasting a remarkable 98.6% R-squared value alongside minimal mean squared error. Crucially, the research identifies total fat, carbohydrates, and protein as pivotal factors influencing calorie predictions, providing indispensable insights for those navigating the complex landscape of informed dietary decision-making.",Public Health,183,517
Houston Methodist Operating Room and Procedural Area Supply Expiration Waste Reduction Kaizen," The First System Level Kaizen Catapults Houston Methodist to Prevent Millions of Dollars in Procedural Area Expiration Waste across seven hospitals in 2023. During FY 2022, there was $3.1 million in Operating Room expiration waste. The team strives to reduce 2023 OR Expiration Waste dollar value by 33% (Attainable Goal ≤ $168,338 per month) and/or 50% (Stretch Goal ≤ $125,625 per month). The team used a five-day Kaizen Event (March 20-24, 2023) with an A3 Problem Solving Approach framework. Post Go-LIVE findings (May–October 2023) indicate a $176,509 monthly AVG and just above target. Our Kaizen has been an effective and efficient approach for Subject Matter Experts to share best practices and develop ideal Standard Work Instructions, which includes: Overall Expiration Waste Reduction, Instant Adds, Inventory PAR Adjustments, and Inventory PAR Removal Processes. The team learned how to effectively use A3 problem solving and apply Lean tools to promote value-added activities. OR Inventory Coordinators execute their ideal processes with operational focus to prevent and reduce expiration waste. Engagement and ongoing success of this initiative requires buy-in from all levels of stakeholders (Executives, Surgeons, Directors, Managers, Inventory Coordinators from OR and Supply Chain, and Clinical Staff). Routine meetings and data transparency promote sustainment. The team expanded standard processes from ORs to all Procedural Areas (ORs, Interventional Radiology, Endoscopy, Cath Labs) and have prevented $4.3 million dollars (January – October 2023) and are on pace to prevent $5.2 million in expiration waste out of $8.8 million in forecasted waste to close out 2023.",Healthcare,81,518
The Manufacturing Production Game - Insights on Student Engagement," The Manufacturing Game is an experiential learning activity that requires students to develop a production plan, implement their plan in a simulated environment, and compete against other teams to earn the most profit. Students exercise their knowledge of production scheduling from aggregate planning to material requirements planning. While the Manufacturing Game was initially created in the 1990s as a physical game, recently, a web-based version was developed for students to be able to play virtually. This presentation will explain how to incorporate the game into a manufacturing course. In addition, we will discuss differences between students playing in-person versus virtually in terms of student engagement and learning outcomes.",Engineering Education Pedagogy and Assessment,67,519
Empowering Global Engineers: Facilitating International Engineering Design for Skill Enhancement," Industry employers need global engineers with the ability to interact in multicultural teams to solve complex problems. Sometimes, engineering students are not allowed to have international or professional experience to develop these kinds of skills. The collaboration between two international universities and a global industry partner addresses this crucial need for engineers with global competences. Recognizing the importance of multicultural teamwork in solving complex problems, this initiative enables engineering students to gain practical experience. By tackling a multi-site engineering design problem across different countries, students engage in real-world challenges with similar manufacturing processes. The structured approach involves forming teams comprising students from both universities guided by a team of teachers through a capstone course methodology. This ensures continuous support as students navigate industry-provided challenges. The outcomes include not only viable solutions to engineering problems but also the development of essential multicultural and engineering design skills. This innovative program provides students with a unique international experience, allowing them to work with a transnational industry partner. Facing a practical engineering design problem, students from two universities and different nationalities and backgrounds, can collaborate to solve an industry problem; dealing with several restrictions such as academic profile, language and communication issues students can build a viable solution to the problem. The result is the cultivation of well-rounded professionals with skills highly valued by employers.",Engineering Identity & Global Engineering Education,68,520
Hierarchical Model of Unreliable Systems in Comparison to an Anti-Fragile Replacement System," A hierarchical production mega-system is modeled with a pyramid architecture in which dependent systems on different levels experience stochastic partial failures, with faults below causing partial collapses of system integrity above. Time series process traces simulate the progressive degradation of the complete system. Various probability density functions are rotated as reliability functions, and alternative candidate inter-system dependency functions are utilized in the search for realistic modeling of hierarchical production mega-systems. Stochastic systemic behaviors are explored, in the search for viable models of progressive probabilistic degradation. Anti-fragile system substitutes are investigated as possible substitutes.",Advanced Topics of QCRE Applications II,6,521
Operational Excellence Systematic Layout Planning for a Boat Trailer Manufacturer," This study delves into the practical application of the Sawhney Model, a systematic methodology for driving operational excellence, within the context of a manufacturing challenge prevalent in the boat trailer industry. Specifically, this industry segment is engaged in the production of bespoke, high-quality trailers designed for recreational boating purposes. The focus of this problem lies in reducing production costs, increasing productivity, and fortifying reliability within the system responsible for fabricating small trailer components. Employing the Sawhney Model as a guiding framework, an assessment of the existing processes within this system was conducted. Subsequently, it was determined that establishing a novel small parts production line within a newly designated facility space would serve as a strategic recourse for the company. The paper delineates two distinct solutions intended to advance this overarching objective—one oriented towards process performance and the other centered on people. The former entails formulating a production plan and predictive schedule for a fresh production line, enabling the in-house manufacturing of previously outsourced materials. This strategic shift aims to diminish the inventory and associated holding costs significantly. The latter solution focuses on devising a revised layout design for the small parts division. This initiative is projected to optimize the movement of both personnel and materials, consequently trimming cycle time and lead time. This redesigned layout aims not only to streamline processes but also to enhance employee well-being. The culmination of these dual solutions is envisaged to elevate the productivity of the small parts system while concurrently bolstering employee retention.",Continuous Improvement Tools and Methodologies I,33,522
Enhancing Industrial & Systems Engineering Education with Smart Factory CPS Integration," This research investigates the utilization of a Smart Factory as an educational tool to enhance the learning experience of Industrial and Systems Engineering students. A Smart Factory contains Cyber-Physical Systems (CPS) which seamlessly integrate software, mechanics, and electronics, forming a dynamic environment where the physical and digital realms converge. Embedded systems and networks monitor and exert control over these physical processes and develop feedback loops where physical processes affect computations and vice versa. This technology has the potential to provide students with hands-on experience with automation and control systems, problem-solving skills within a manufacturing environment, and prepare students for future careers within industries embracing smart manufacturing technologies. Key learning objectives include understanding CPS components and interactions, highlighting the significance of CPS within Industry 4.0, examining CPS with embedded processes, and employing real-time monitoring for greater comprehension of manufacturing systems. The outcomes of this research have the potential to supplement the educational experience of students, preparing them for the evolving challenges and opportunities in the industrial landscape.",Innovations in Engineering Education,108,523
Using Artificial Intelligence Powered Teaching Assistant Tool to Enhance Student Learning in Engineering Economy Class," Providing timely feedback in large undergraduate courses such as Engineering Economy (about 200 students in each section at Purdue University), is both crucial and challenging. To enable real-time and individualized learning assistance to students, we developed an AI-powered “TA” tool – Arthur -- that includes a set of practice problems and can provide customized suggestions based on the answers submitted by students. The tool uses machine learning models that are trained using historical graded assignments to predict the cause of the incorrect answer and provide feedback accordingly. We have piloted using the tool for three semesters and surveyed students about their experience. Survey results show that the majority of students chose to use this optional tool and view it as helpful to improve their course performance.",Innovations in Engineering Education,108,524
Survey of Courses on Semiconductor Manufacturing at U.S. Universities," The significance of semiconductors became evident when manufacturing operations in various sectors nearly came to a standstill due to shortages of semiconductor chips. In response, the 2022 CHIPS Act offers a groundbreaking chance for the United States to regain its position as a leading force in modern semiconductor industry. This act aims at strengthening domestic semiconductor manufacturing, design and research, protecting the economy and national security, and reinforcing America’s chip supply chains. This push to re-shore semiconductor manufacturing in the U.S. has spurred massive investment but without talented STEM workforce, we'll lose the race. A survey on semiconductor manufacturing courses at more than 100 U.S. universities has been conducted. The survey encompasses an examination of course structures, curriculum frameworks, laboratory components, and emerging technologies in semiconductor manufacturing education. By synthesizing information from many U.S. institutions, this work aims to offer insights into the current state of semiconductor manufacturing education, identifying areas of strength and weakness, thereby contributing to the ongoing enhancement of workforce development in this critical area.",Industry-Academia Collaboration in Education,103,525
A Mixed Integer Programming Approach to Enhancing Throughput and Reducing Production Costs of Manufacturing Eco-Friendly Hair Extensions," With the global human hair extension market value exceeding $4 Billion in 2022, there is a growing concern about the environmental impact of traditional, plastic-based hair extensions. While the human hair extension market has thrived, in the past few years concerns surrounding the sustainability of the cheap plastic compositions used in these extensions have been raised. This has led to the emergence of environmentally friendly alternatives produced from vegetable fibers. The manufacturing process of these alternatives can be time consuming and requires substantial physical labor. Without proper material flow and scheduling, production costs of these sustainable extensions can skyrocket and lead to lack of market competitiveness. The objective of this research is to improve throughput while minimizing costs (labor and material) of producing eco-friendly hair extensions. A mixed integer programming model for optimizing workforce utilization, production targets, and material flow is developed. In addition, a simulation analysis is conducted to (i) verify the outcomes in the presence of uncertainty, and, (ii) explore alternative layouts and production settings for further improving the system efficiency. The results indicated a 50% improvement in throughput and $70,000 in annual cost savings as opposed to the current practice.",Production and Inventory Planning,182,526
A Comprehensive Characterization Study of Alginate-Gelatin-Tempo Mediated Nano Fibrillated Cellulose Composites for Extrusion-Based 3D Bioprinting Technique," Alginate's viscosity enhancement capacity by ionic crosslinking combined with Gelatin's cell-binding motifs, have elevated their role in extrusion-based 3D bioprinting. Gelatin shows improved cell functions due to the resemblance of collagen's structure, featuring RGD peptides. While pure gelatin faces temperature-related extrusion challenges, alginate supplementation helps. Even though Nano-fibrillated cellulose (NFC) augments hydrogel properties, it suffers due to uneven network entanglements. Surface modification via TEMPO oxidation produces TO-NFC, mitigating printability issues. TO-NFC's hydrogen-bonded crystallinity post-oxidation positions it as a robust bio-ink for 3D scaffold creation. In this paper, we will prepare a set of compositions using Alginate (2-5.25%), Gelatin (2-5.25%), and TO-NFC (0.5-1.0%) maintaining a total solid content of 8% to harness their combined benefits in the field of extrusion-based bio-printing process. We will identify the printability, shape fidelity, and biocompatibility of those compositions by conducting a series of characterization tests such as rheological test, scanning electronics microscopy (SEM), FTIR, thermal tests, and cytotoxicity encapsulating Human Mesenchymal Stem Cells (hMSCs). The outcome of those tests such as flow behavior, microporosity, chemical bonds, and cell viability will help identify the optimum composition/s for 3D bioprinting applications. The ability to control 3D printability and the favorable survival of cells make nano-fiber infused alginate-gelatin a promising option for creating precisely shaped scaffolds using the 3D bio-printing process.",Bioprinting and Biomedical Manufacturing Processes-II,20,527
Multilevel Neural Networks for Robust Learning," The growing size and availability of data in recent years has allowed machine learning models to become increasingly accurate and precise. Often however these datasets are extremely large, requiring a lot of time and computational resources to train successfully. Additionally, these datasets often contain significant amounts of noise and are extremely imbalanced. We address these problems by performing iterative graph coarsening in order to perform initial learning on a manageable size of the dataset. Once trained, the model is further refined by intelligently selecting datapoints from finer levels to ensure the model can generalize without being overwhelmed by noise in these levels.",Deep Learning II,41,528
Simulation and Digital Twin: Bridging the Gap," Modern industrial processes are being transformed by data-driven decision support tools like simulation, advanced data analytics, and Artificial Intelligence (AI). While Discrete Event Simulation (DES) accurately models manufacturing systems, it can be time-consuming and data-intensive. A Digital Twin (DT) can provide real-time insights and faithfully represent the system. DES and DT are different technologies with distinct capabilities. Therefore, this research aims to bridge the gap between DES and DT by demonstrating the steps to transform a fully capable DES model to a DT through a case study. Key transformation steps, challenges, and solutions are identified. This research concludes with lessons learned, critical success factors and recommendations for future studies.",Digital Twins,51,529
People-Centric Operational Excellence in Product Management for Small-Medium Manufacturing," Within small-medium sized niche manufacturing environments, project and product management structures that are commonplace in larger businesses are rare, causing disorganization. This disorganization is unreliable and increases stress on labor and professionals alike, limits capacity and improvement, and requires more resource allocation to accomplish tasks. In the business environment of manufacturing industries, project management is vital to driving and delivering value to the organization and its stakeholders. After a project is completed and begins to be manufactured, it becomes a product that exceeds the life cycle of the project it was once part of, and a team is set up to oversee the product management endeavor. However, the product may need to be overhauled, causing a new project to be set in motion by the product manager. This case study reviews a people-centric operational excellence (PCOEx) model to combat long lead times, high employee stress and reduce costs associated with product management operations, especially related to the research and development process. Entitled as the Sawhney model, this systems-thinking approach comprises four distinct modules, including a robust problem identification process, a hierarchical performance measurement system, a reliability-based platform, and a sustainability risk assessment, which focus is to improve company’s performance while enhancing employees’ quality of life. Reliability, retention, and human factor issues engendered by modern industry implored the implementation of the Sawhney model and proved to enhance the lead times of a new product engineering group while simultaneously decreasing their effort and stress levels.",Manufacturing Organizations II,140,530
Improving Medical Supply Chain in the Emergency Department – A Lean Framework," Shortages of essential medical supplies can compromise patient care and increase operational strain in the emergency department (ED). Despite restocking efforts by the central storage, the ED faces critical challenges. To address these challenges, this study employs the lean framework. From 6 AM to 10 PM, the ED employs two supply staff to fulfill nurses’ requests. However, between 6 PM and 6 AM, central storage remains closed, necessitating the forwarding of supply requests to the transport department. This redirection causes delays, requiring nurses to involve ED patient care technicians or supply coordinators in placing the orders. The approach begins with defining the problem with a process flow diagram and value stream map. Followed by the analysis of root causes and data including PAR levels of supplies that are frequently depleted. Solutions implemented include restructuring communication, optimizing PAR levels, bin sizes, 5S the supply rooms. Control plan will sustain the improvements over time resulting in streamlined process for timely access to essential medical supplies, enhancing patient care and operational effectiveness in the emergency department.",Process Improvement in Health Systems,178,531
"Development of a Customized, Modular Hydroponics Chamber"," In the changing world, agriculture is becoming increasingly difficult, with up to 70% of farmable land at risk of becoming unusable by the second half of the 21st century. Factors like this drive home a need to create innovating farming solutions, and one such method is hydroponics. This type of agriculture is characterized by growing plants without soil, and is generally conducted in an enclosed environment. There has been a significant amount of innovation since the hydroponics was invented in 600 BC Mesopotamia, and more recently with its reintroduction to modernity in the 1938. However, there is little published work on a single chamber conducting modular and customized investigations into the effectiveness of different features. This paper serves as a description of our process for constructing a custom hydroponics chamber and the potential for future work.",Harvesting Hope: Innovations in Food Security and Ending Hunger (SDG 2),77,532
